USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
USA Total,"435,160",+233,"14,797",+9,"397,472","1,315",45,"2,226,116","6,725", 
"
New York ","151,171 ","
","
6,268 ", ,"
130,323 ","7,706",319,"
365,153 ","18,613","
[1] [2] [3] [4] [5] [6] [7] [8] [9]  "
"
New Jersey ","47,437 ","
","
1,504 ", ,"
45,841 ","5,341",169,"
100,326 ","11,296","
[1] [2]  "
"
Michigan ","20,346 ","
","
959 ", ,"
19,318 ","2,043",96,"
51,708 ","5,193","
[1] [2] [3]  "
"
California ","19,063 ","
+233 ","
507 ",+9 ,"
17,616 ",487,13,"
154,733 ","3,952","
[1] [2]  "
"
Louisiana ","17,030 ","
","
652 ", ,"
16,328 ","3,652",140,"
81,406 ","17,456","
[1]  "
"
Massachusetts ","16,790 ","
","
433 ", ,"
16,347 ","2,458",63,"
87,511 ","12,812","
[1] [2]  "
"
Pennsylvania ","16,743 ","
","
314 ", ,"
16,295 ","1,309",25,"
98,538 ","7,704","
[1] [2] [3] [4]  "
"
 Florida ","15,698 ","
","
323 ", ,"
15,275 ",762,16,"
144,570 ","7,019","
[1] [2]  "
"
Illinois ","15,078 ","
","
462 ", ,"
14,566 ","1,176",36,"
75,066 ","5,855","
[1] [2] [3] [4]  "
"
Georgia ","10,204 ","
","
370 ", ,"
9,803 ",991,36,"
38,787 ","3,767","
[1] [2] [3]  "
"
Texas ","10,065 ","
","
195 ", ,"
9,100 ",361,7,"
96,258 ","3,452","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
"
Washington ","9,342 ","
","
431 ", ,"
7,997 ","1,281",59,"
92,073 ","12,623","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
"
Connecticut ","8,781 ","
","
335 ", ,"
8,396 ","2,452",94,"
31,700 ","8,851","
[1] [2] [3]  "
"
Indiana ","5,943 ","
","
203 ", ,"
5,726 ",895,31,"
30,869 ","4,651","
[1] [2]  "
"
Colorado ","5,655 ","
","
193 ", ,"
5,422 ","1,022",35,"
29,199 ","5,279","
[1]  "
"
Maryland ","5,529 ","
","
124 ", ,"
5,117 ",921,21,"
38,462 ","6,407","
[1]  "
"
Ohio ","5,148 ","
","
193 ", ,"
4,955 ",442,17,"
53,341 ","4,582","
[1]  "
"
Tennessee ","4,362 ","
","
 79 ", ,"
3,656 ",656,12,"
56,618 ","8,513","
[1] [2] [3] [4]  "
"
Virginia ","3,645 ","
","
75 ", ,"
3,568 ",433,9,"
30,645 ","3,642","
[1]  "
"
North Carolina ","3,562 ","
","
63 ", ,"
3,413 ",351,6,"
42,987 ","4,233","
[1] [2]  "
"
Missouri ","3,431 ","
","
85 ", ,"
3,277 ",563,14,"
38,282 ","6,286","
[1] [2] [3] [4] [5]  "
"
Wisconsin ","2,756 ","
","
103 ", ,"
2,588 ",477,18,"
32,871 ","5,689","
[1] [2] [3] [4] [5]  "
"
Arizona ","2,726 ","
","
80 ", ,"
2,626 ",392,12,"
34,564 ","4,976","
[1]  "
"
South Carolina ","2,552 ","
","
63 ", ,"
2,489 ",515,13,"
24,634 ","4,971","
[1]  "
"
Alabama ","2,499 ","
","
67 ", ,"
2,412 ",514,14,"
19,252 ","3,958","
[1]  "
"
Nevada ","2,318 ","
","
71 ", ,"
2,211 ",793,24,"
22,865 ","7,823","
[1] [2]  "
"
Mississippi ","2,003 ","
","
67 ", ,"
1,936 ",670,22,"
20,635 ","6,904","
[1]  "
"
Utah ","1,846 ","
","
13 ", ,"
1,807 ",606,4,"
36,116 ","11,859","
[1]  "
"
Oklahoma ","1,524 ","
","
79 ", ,"
923 ",389,20,"
13,345 ","3,406","
[1] [2]  "
"
Rhode Island ","1,450 ","
","
35 ", ,"
1,405 ","1,372",33,"
12,132 ","11,482","
[1] [2]  "
"
District Of Columbia ","1,440 ","
","
27 ", ,"
1,052 ","2,104",39,"
8,283 ","12,101","
[1]  "
"
Kentucky ","1,346 ","
","
73 ", ,"
967 ",303,16,"
21,620 ","4,869","
[1] [2]  "
"
Oregon ","1,239 ","
","
38 ", ,"
1,201 ",304,9,"
24,564 ","6,018","
[1] [2] [3]  "
"
Idaho ","1,232 ","
","
18 ", ,"
1,214 ",730,11,"
12,531 ","7,424","
[1] [2] [3]  "
"
Minnesota ","1,154 ","
","
39 ", ,"
483 ",209,7,"
30,753 ","5,564","
[1] [2] [3]  "
"
Iowa ","1,145 ","
","
27 ", ,"
1,029 ",366,9,"
13,966 ","4,458","
[1] [2] [3] [4] [5] [6]  "
"
Delaware ","1,116 ","
","
19 ", ,"
938 ","1,175",20,"
9,439 ","9,941","
[1]  "
"
Arkansas ","1,077 ","
","
18 ", ,"
822 ",360,6,"
14,909 ","4,985","
[1] [2]  "
"
Kansas ","1,046 ","
","
38 ", ,"
1,008 ",360,13,"
10,183 ","3,501","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
New Mexico ",865 ,"
","
16 ", ,"
678 ",413,8,"
23,807 ","11,378","
[1]  "
"
New Hampshire ",788 ,"
","
18 ", ,"
543 ",586,13,"
9,551 ","7,108","
[1] [2] [3]  "
"
Vermont ",605 ,"
","
23 ", ,"
582 ",968,37,"
7,749 ","12,399","
[1]  "
"
Maine ",537 ,"
","
14 ", ,"
336 ",403,11,"
6,625 ","4,971","
[1] [2]  "
"
Nebraska ",519 ,"
","
12 ", ,"
507  ",272,6,"
7,978 ","4,188","
[1] [2]  "
"
West Virginia ",483 ,"
","
4 ", ,"
479 ",264,2,"
12,859 ","7,030","
[1]  "
"
Hawaii ",435 ,"
","
5 ", ,"
317 ",306,4,"
15,751 ","11,076","
[1] [2]  "
"
South Dakota ",393 ,"
","
6 ", ,"
241 ",455,7,"
6,748 ","7,808","
[1] [2]  "
"
Montana ",332 ,"
","
6 ", ,"
191 ",319,6,"
7,398 ","7,102","
[1] [2] [3]  "
"
North Dakota ",251 ,"
","
4 ", ,"
149 ",334,5,"
8,607 ","11,442","
[1]  "
"
Wyoming ",230 ,"
","
", ,"
136 ",395,,"
4,064 ","6,985","
[1] [2]  "
"
Alaska ",226 ,"
","
7 ", ,"
187 ",306,9,"
7,068 ","9,571","
[1]  "
"
Guam ",121 ,"
","
4 ", ,"
90 ",,,"
605 ",,"
[1] [2]  "
"
Northern Mariana Islands ",11 ,"
","
2 ", ,"
9 ",,,"
45 ",,"
[1]  "
"
Puerto Rico ",620 ,"
","
24 ", ,"
592 ",183,7,"
6,052 ","1,787","
[1]  "
"
United States Virgin Islands ",43 ,"
","
1 ", ,"
8 ",,,"
266 ",,"
[1]  "
"
US Military ","3,160 ","
","
8 ", ,"
2,928 ",,,"
0 ",,"
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
3 ",,"
"
"
Diamond Princess Cruise ",46 ,"
","
", ,"
46 ",,,"
46 ",,"
"
Total:,"435,160",+233,"14,797",+9,"397,472","1,315",45,"2,226,116","6,725", 
