USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
USA Total,"336,830",+157,"9,618",+2,"309,235","1,018",29,"1,772,369","5,355", 
"
New York ","123,018 ","
","
4,159 ", ,"
106,672 ","6,271",212,"
302,280 ","15,408","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10]  "
"
New Jersey ","37,505 ","
","
917 ", ,"
36,496 ","4,223",103,"
82,166 ","9,251","
[1] [2]  "
"
Michigan ","15,718 ","
","
617 ", ,"
15,057 ","1,579",62,"
45,748 ","4,594","
[1] [2] [3]  "
"
California ","15,180 ","
+143  ","
348 ",+1 ,"
13,932 ",388,9,"
116,533 ","2,977","
[1] [2]  "
"
Louisiana ","13,010 ","
","
477 ", ,"
12,483 ","2,790",102,"
60,325 ","12,935","
[1]  "
"
Massachusetts ","12,500 ","
","
231 ", ,"
12,259 ","1,830",34,"
71,937 ","10,532","
[1] [2]  "
"
Florida ","12,350 ","
","
221 ", ,"
12,029 ",600,11,"
114,580 ","5,563","
[1] [2]  "
"
Pennsylvania  ","11,510 ","
","
150 ", ,"
11,284 ",900,12,"
77,771 ","6,080","
[1] [2] [3] [4]  "
"
Illinois ","11,256 ","
","
274 ", ,"
10,932 ",878,21,"
58,983 ","4,600","
[1] [2] [3] [4]  "
"
Washington ","7,984 ","
","
338 ", ,"
7,022 ","1,095",46,"
87,911 ","12,052","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12]  "
"
Texas ","7,045 ","
","
133 ", ,"
6,237 ",253,5,"
70,938 ","2,544","
[1] [2] [3] [4] [5] [6] [7]  "
"
Georgia ","6,742 ","
","
219 ", ,"
6,492 ",655,21,"
27,832 ","2,703","
[1] [2] [3]  "
"
Connecticut ","5,675 ","
","
189 ", ,"
5,436 ","1,585",53,"
23,270 ","6,497","
[1] [2] [3]  "
"
Colorado ","4,950 ","
","
140 ", ,"
 4,770 ",895,25,"
25,773 ","4,660","
[1]  "
"
Indiana ","4,411 ","
","
127 ", ,"
4,270 ",665,19,"
22,652 ","3,413","
[1] [2]  "
"
Ohio ","4,043 ","
","
119 ", ,"
3,924 ",347,10,"
43,756 ","3,758","
[1]  "
"
Tennessee ","3,633 ","
","
44 ", ,"
3,294 ",546,7,"
45,300 ","6,811","
[1] [2] [3] [4]  "
"
Maryland ","3,609 ","
","
67 ", ,"
3,383 ",601,11,"
28,337 ","4,720","
[1]  "
"
North Carolina ","2,677 ","
+14 ","
39 ",+1 ,"
2,552 ",264,4,"
40,045 ","3,943","
[1] [2]  "
"
Virginia ","2,637 ","
","
 51 ", ,"
2,584 ",313,6,"
23,671 ","2,813","
[1]  "
"
Missouri ","2,367 ","
","
49 ", ,"
2,306 ",389,8,"
27,173 ","4,462","
[1] [2]  "
"
Arizona ","2,269 ","
","
64 ", ,"
2,185 ",327,9,"
27,410 ","3,946","
[1]  "
"
Wisconsin ","2,267 ","
","
68 ", ,"
2,197 ",392,12,"
25,971 ","4,495","
[1] [2] [3] [4]  "
"
South Carolina ","2,049 ","
","
44 ", ,"
2,005 ",413,9,"
18,976 ","3,829","
[1]  "
"
Alabama ","1,841 ","
","
45 ", ,"
1,776 ",378,9,"
13,078 ","2,688","
[1]  "
"
Nevada ","1,836 ","
","
46 ", ,"
1,754 ",628,16,"
19,908 ","6,811","
[1] [2]  "
"
Mississippi ","1,638 ","
","
43 ", ,"
1,595 ",548,14,"
7,218 ","2,415","
[1]  "
"
Utah ","1,605 ","
","
8 ", ,"
1,586 ",527,3,"
30,892 ","10,144","
[1]  "
"
Oklahoma ","1,252 ","
","
46 ", ,"
823 ",320,12,"
2,655 ",678,"
[1]  "
"
Idaho ","1,101 ","
","
10 ", ,"
1,091 ",652,6,"
10,261 ","6,079","
[1] [2] [3]  "
"
Oregon ","1,068 ","
","
27 ", ,"
1,041 ",262,7,"
20,624 ","5,052","
[1] [2] [3]  "
"
District Of Columbia ",998 ,"
","
22 ", ,"
718 ","1,458",32,"
6,834 ","9,984","
[1]  "
"
Kentucky ",955 ,"
","
45 ", ,"
604 ",215,10,"
18,767 ","4,227","
[1] [2]  "
"
Minnesota ",935 ,"
","
29 ", ,"
455 ",169,5,"
26,777 ","4,844","
[1] [2]  "
"
Rhode Island ",922 ,"
","
25 ", ,"
887 ",873,24,"
8,102 ","7,668","
[1] [2] [3] [4]  "
"
Iowa ",868 ,"
","
22 ", ,"
778 ",277,7,"
10,841 ","3,461","
[1] [2] [3] [4]  "
"
Arkansas ",837 ,"
","
16 ", ,"
724 ",280,5,"
11,143 ","3,726","
[1] [2]  "
"
Kansas ",747 ,"
","
22 ", ,"
725 ",257,8,"
8,223 ","2,827","
[1] [2] [3]  "
"
Delaware ",673 ,"
","
14 ", ,"
588 ",709,15,"
6,994 ","7,366","
[1] [2] [3]  "
"
New Hampshire ",669 ,"
","
9 ", ,"
513 ",498,7,"
8,370 ","6,229","
[1] [2] [3]  "
"
New Mexico ",624 ,"
","
12 ", ,"
558 ",298,6,"
16,909 ","8,081","
[1]  "
"
Vermont ",512 ,"
","
22 ", ,"
490 ",819,35,"
6,582 ","10,532","
[1]  "
"
Maine ",470 ,"
","
10 ", ,"
304 ",353,8,"
6,544 ","4,910","
[1] [2]  "
"
Hawaii ",371 ,"
","
4 ", ,"
282 ",261,3,"
13,314 ","9,363","
[1] [2]  "
"
Nebraska ",363 ,"
","
8 ", ,"
355 ",191,4,"
5,933 ","3,115","
[1] [2] [3]  "
"
West Virginia ",324 ,"
","
3 ", ,"
321 ",177,2,"
8,838 ","4,832","
[1]  "
"
Montana ",298 ,"
","
6 ", ,"
260 ",286,6,"
6,789 ","6,517","
[1] [2] [3]  "
"
South Dakota ",240 ,"
","
4 ", ,"
152 ",278,5,"
5,593 ","6,471","
[1] [2]  "
"
North Dakota ",207 ,"
","
3 ", ,"
141 ",275,4,"
6,787 ","9,023","
[1]  "
"
Wyoming ",200 ,"
","
", ,"
150 ",344,,"
3,227 ","5,546","
[1] [2]  "
"
Alaska ",185 ,"
","
6 ", ,"
164 ",251,8,"
6,284 ","8,509","
[1] [2]  "
