USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
"
 Missouri ","4,024 ","
","
114 ", ,"
3,726 ",661,19,"
43,172 ","7,089","
[1] [2] [3] [4] [5] [6]  "
"
Arizona ","3,393 ","
","
108 ", ,"
3,265 ",488,16,"
40,530 ","5,834","
[1]  "
"
Alabama ","3,262 ","
","
93 ", ,"
3,149 ",671,19,"
20,605 ","4,236","
[1]  "
"
Wisconsin ","3,213 ","
","
137 ", ,"
3,011 ",556,24,"
37,893 ","6,558","
[1] [2] [3] [4] [5] [6]  "
"
South Carolina ","3,207 ","
","
80 ", ,"
3,127 ",647,16,"
30,093 ","6,072","
[1] [2]  "
"
Nevada ","2,700 ","
","
111 ", ,"
2,339 ",924,38,"
28,335 ","9,694","
[1] [2]  "
"
Mississippi ","2,642 ","
","
93 ", ,"
2,549 ",884,31,"
21,101 ","7,060","
[1]  "
"
Rhode Island ","2,349 ","
","
56 ", ,"
2,283 ","2,223",53,"
18,207 ","17,232","
[1] [2]  "
"
Utah ","2,206 ","
","
18 ", ,"
2,162 ",724,6,"
42,546 ","13,971","
[1]  "
"
Oklahoma ","1,868 ","
","
94 ", ,"
1,252 ",477,24,"
22,511 ","5,745","
[1] [2]  "
"
Kentucky ","1,840 ","
","
94 ", ,"
1,440 ",414,21,"
24,567 ","5,533","
[1]  "
"
District Of Columbia ","1,778 ","
","
47 ", ,"
1,284 ","2,598",69,"
10,039 ","14,666","
[1]  "
"
Iowa ","1,510 ","
","
34 ", ,"
1,387 ",482,11,"
17,132 ","5,469","
[1] [2] [3] [4] [5] [6] [7]  "
"
Delaware ","1,479 ","
","
33 ", ,"
1,255 ","1,558",35,"
11,103 ","11,694","
[1]  "
"
Oregon ","1,447 ","
","
51 ", ,"
1,396 ",354,12,"
28,638 ","7,016","
[1] [2]  "
"
Minnesota ","1,427 ","
","
64 ", ,"
570 ",258,12,"
35,404 ","6,405","
[1] [2]  "
"
Idaho ","1,407 ","
","
27 ", ,"
1,380 ",834,16,"
14,308 ","8,477","
[1] [2] [3]  "
"
Kansas ","1,268 ","
","
55 ", ,"
1,213 ",436,19,"
12,343 ","4,243","
[1] [2] [3] [4] [5] [6] [7]  "
"
Arkansas ","1,228 ","
","
25 ", ,"
857 ",411,8,"
18,617 ","6,225","
[1] [2]  "
"
New Mexico ","1,174 ","
","
20 ", ,"
983 ",561,10,"
28,692 ","13,712","
[1]  "
"
New Hampshire ",929 ,"
","
23 ", ,"
670 ",691,17,"
 10,925 ","8,131","
[1]  "
"
Vermont ",711 ,"
","
25 ", ,"
686 ","1,138",40,"
9,258 ","14,813","
[1]  "
"
Nebraska ",704 ,"
","
17 ", ,"
687 ",370,9,"
10,197  ","5,353","
[1] [2]  "
"
South Dakota ",626 ,"
","
6 ", ,"
431 ",724,7,"
8,004 ","9,261","
[1] [2]  "
"
Maine ",616 ,"
","
19 ", ,"
341 ",462,14,"
6,625 ","4,971","
[1] [2]  "
"
West Virginia ",591 ,"
","
6 ", ,"
528 ",323,3,"
15,819 ","8,649","
[1]  "
"
Hawaii ",486 ,"
","
8 ", ,"
227 ",342,6,"
17,531 ","12,328","
[1] [2]  "
"
Montana ",377 ,"
","
6 ", ,"
202 ",362,6,"
8,581 ","8,237","
[1] [2] [3]  "
"
North Dakota ",293 ,"
","
7 ", ,"
167 ",390,9,"
10,080 ","13,401","
[1]  "
"
Wyoming ",261 ,"
","
", ,"
124 ",449,,"
5,353 ","9,200","
[1] [2]  "
"
Alaska ",257 ,"
","
8 ", ,"
186 ",348,11,"
7,732 ","10,470","
[1]  "
"
Guam ",133 ,"
","
5 ", ,"
70 ",,,"
605 ",,"
[1]  "
"
Northern Mariana Islands ",11 ,"
","
2 ", ,"
9 ",,,"
45 ",,"
[1]  "
"
Puerto Rico ",788 ,"
","
42 ", ,"
742 ",233,12,"
7,709 ","2,276","
[1] [2] [3]  "
"
United States Virgin Islands  ",51 ,"
","
1 ", ,"
7 ",,,"
370 ",,"
[1]  "
"
US Military ","3,366 ","
","
13 ", ,"
3,054 ",,,"
0 ",,"
[1]  "
"
Navajo Nation ",558 ,"
","
22 ", ,"
536 ",,,"
0 ",,"
[1]  "
"
Grand Princess Ship ",103 ,"
","
3 ", ,"
100 ",,,"
0 ",,"
[1]  "
"
Wuhan Repatriated ",3 ,"
","
", ,"
3 ",,,"
3 ",,"
"
"
Diamond Princess Ship ",46 ,"
","
", ,"
46 ",,,"
46 ",,"
"
Total:,"532,879",,"20,577",,"481,849","1,610",62,"2,670,674","8,068", 
