USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Source
USA Total,"532,879",,"20,577",,"481,849","1,610",62,"2,670,674","8,068", 
"
New York ","181,144 ","
","
8,627 ", ,"
155,840 ","9,233",440,"
440,980 ","22,478","
[1] [2] [3] [4] [5] [6]  "
"
New Jersey ","58,151 ","
","
2,183 ", ,"
55,286 ","6,547",246,"
120,193 ","13,532","
[1] [2]  "
"
Michigan ","23,993 ","
","
1,392 ", ,"
22,158 ","2,410",140,"
76,014 ","7,634","
[1] [2] [3]  "
"
Massachusetts ","22,860 ","
","
686 ", ,"
21,445 ","3,347",100,"
108,776 ","15,926","
[1] [2]  "
"
California ","22,173 ","
","
630 ", ,"
20,603 ",566,16,"
164,863 ","4,211","
[1] [2] [3]  "
"
Pennsylvania ","21,804 ","
","
501 ", ,"
20,653 ","1,705",39,"
120,153 ","9,393","
[1] [2] [3] [4]  "
"
Louisiana ","20,014 ","
","
806 ", ,"
19,158 ","4,292",173,"
96,915 ","20,781","
[1]  "
"
Illinois ","19,180 ","
","
677 ", ,"
18,453 ","1,496",53,"
92,779 ","7,236","
[1] [2] [3] [4]  "
"
Florida ","18,986 ","
","
446 ", ,"
18,360 ",922,22,"
173,187 ","8,408","
[1] [2]  "
"
Texas ","13,205 ","
","
267 ", ,"
11,321 ",474,10,"
120,533 ","4,322","
[1] [2] [3] [4] [5] [6] [7] [8]  "
"
Georgia ","12,261 ","
","
432 ", ,"
11,798 ","1,191",42,"
51,715 ","5,022","
[1] [2] [3]  "
"
Connecticut ","11,510 ","
","
494 ", ,"
10,966 ","3,214",138,"
39,831 ","11,121","
[1] [2]  "
"
Washington ","10,448 ","
","
494 ", ,"
8,880 ","1,432",68,"
92,999 ","12,749","
[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]  "
"
Maryland ","7,694 ","
","
206 ", ,"
7,057 ","1,282",34,"
47,238 ","7,868","
[1]  "
"
Indiana ","7,435 ","
","
330 ", ,"
7,091 ","1,120",50,"
39,215 ","5,908","
[1] [2]  "
"
Colorado ","6,893 ","
","
274 ", ,"
6,579 ","1,246",50,"
34,873 ","6,305","
[1]  "
"
Ohio ","6,250 ","
","
247 ", ,"
6,003 ",537,21,"
60,471 ","5,194","
[1]  "
"
Tennessee ","5,114 ","
","
101 ", ,"
3,627 ",769,15,"
66,828 ","10,048","
[1] [2] [3]  "
"
Virginia ","5,077 ","
","
130 ", ,"
4,945 ",603,15,"
37,999 ","4,516","
[1]  "
"
North Carolina ","4,355 ","
","
87 ", ,"
4,182 ",429,9,"
60,393 ","5,947","
[1] [2] [3]  "
