screen_name,created_at,location,source,hashtags,text
DennyBlount,2020-04-10 22:39:49,"Chicago, IL",Twitter for iPhone,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
bannerite,2020-04-10 22:39:41,"Illinois, USA",Twitter Web App,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
NatachaRaja,2020-04-10 22:39:40,Zagreb/Paris/Vienna,Twitter for iPhone,COVID19,"The #COVID19 pandemic comes with particular challenges for the most vulnerable, including people with disabilities. 

@WHO shares tips on how to ensure everyone receives the care they need during the #coronavirus pandemic. https://t.co/ADPlKYjcgz https://t.co/megsHwMhIr"
WHONURS,2020-04-10 22:39:39,,Twitter for iPhone,COVID19,"#COVID19 could reverse the limited but important progress that has been made on gender equality and women’s rights.

Women’s leadership and contributions must be at the heart of #coronavirus resilience &amp; recovery efforts.

https://t.co/ZrwlsbwIZc https://t.co/iyJeFOoF7p"
abyfuglien,2020-04-10 22:39:38,"Trondheim, Norway",Twitter Web App,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
IrmaRaste,2020-04-10 22:39:35,Global Health+Tech from Boston,Twitter for iPhone,,Seattle startup NextStep raises $3.6M to train displaced workers for healthcare jobs – GeekWire https://t.co/RoeBRGbKEC @IrmaRaste @eViRaHealth #COVID19 #Covid_19 #coronavirus #coronapocolypse #StayAtHome @NextStepUS
alexptachick,2020-04-10 22:39:34,"Washington, DC",Twitter Web App,,"Friends, I'd like to introduce you to my baby, made with love by me, @alexptachick, @thealexconnor &amp; our talented developers. It's a guide pulling from @usatoday reports to help you find answers to your coronavirus &amp; COVID-19 questions. Please share! https://t.co/4vtox37jNE"
PVM388,2020-04-10 22:39:33,US,Twitter Web App,,"@Allkeyshop join @globalgiving !  Fight the covid19 with the allkeyshop team

https://t.co/ld4c3oZ2Iy

#Allunitedagainstcovid19 #COVID--19 #staysafe #stayathome #GlobalGiving #coronavirus #confinement #Lockdown #Charity #Giveaway @foldingathome https://t.co/MxS204336K"
_s4m1_,2020-04-10 22:39:23,Finland,Twitter Web Client,,"@Allkeyshop join @globalgiving !  Fight the covid19 with the allkeyshop team

https://t.co/ld4c3oZ2Iy

#Allunitedagainstcovid19 #COVID--19 #staysafe #stayathome #GlobalGiving #coronavirus #confinement #Lockdown #Charity #Giveaway @foldingathome https://t.co/MxS204336K"
KAYDM49,2020-04-10 22:39:17,"Brentwood, England.",Twitter for Android,,"South Yorkshire Police have apologised after an officer told a family in Rotherham they were not allowed in their own garden during the #coronavirus lockdown.

For the latest updates on the UK's #COVID19 outbreak, click here: https://t.co/TZBDKaeMbg https://t.co/hrxmeVpoSx"
IrmaRaste,2020-04-10 22:39:13,Global Health+Tech from Boston,Twitter for iPhone,AI,"How #AI is helping scientists in the fight against COVID-19, from robots to predicting the future – GeekWire https://t.co/rRmOrxlOtY @IrmaRaste @eViRaHealth #COVID19 #Covid_19 #coronavirus #coronapocolypse #StayAtHome #ArtificialIntelligence"
FriedrichHayek,2020-04-10 22:39:08,,Twitter for iPhone,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
DazaSaskia,2020-04-10 22:39:04,,Twitter for iPhone,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
blakehounshell,2020-04-10 22:39:02,Washington,TweetDeck,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
s_srivatsa,2020-04-10 22:39:01,Bangalore,Twitter for iPhone,,"New post on the @FocaalBlog! “In Pipeline, Panic is Unnecessary” – How Poor Nairobians Deal with the advent of the #COVID19 pandemic https://t.co/VdVHR6h0Or This post details the challenges of containing the #coronavirus in African megacities https://t.co/A7TauiGfJt"
CreativeDifs,2020-04-10 22:39:00,"Los Angeles, CA",Twitter Web App,,Two more articles on how race and class shape the impact of Covid 19 in America: https://t.co/FPKwKqahOM  https://t.co/qvh34sklL3
vikasgoel1851,2020-04-10 22:39:00,"Delhi, India",Twitter for iPhone,,". @ArvindKejriwal 's Operation SHIELD and 5Ts strategies are helping Delhi fight  to Corona
@CMODelhi
@AamAadmiParty @AAPDelhi
#COVID19

https://t.co/YuasiCbh1z"
cmwg_ato,2020-04-10 22:38:59,"Earth (Norwich, UK)",Twitter for Android,,"""My father would not be afraid to point out what was wrong.""

Doctor Abdul Mabud Chowdhury, who had warned the PM that health workers needed more protective equipment, passed away after 15 days in hospital with #COVID19.

More on his story here: https://t.co/foTizvG9Uh https://t.co/OTnyzoeyJ8"
g4rg4ntu4,2020-04-10 22:38:56,"Dublin, Ireland",Twitter for Android,,"Something that didn't get attention amid the global coronavirus pandemic is the US-led imperialist military alliance NATO had been planning the massive exercise Defender-Europe 20, as a threat to China and Russia

It was scaled down though due to Covid-19 
https://t.co/Yl5rarofLp https://t.co/m763VuruNV"
AdvertisingLaw,2020-04-10 22:38:55,"Roxbury, NJ",Twitter Web App,"COVID19, coronavirus",Maybe there’s a reason why dire projections about COVID-19 have been wrong | American Thinker https://t.co/ALCSb9X0Aa #COVID19 #coronavirus
Muhammad_Audiee,2020-04-10 22:38:55,"Katsina, Nigeria",Twitter for iPhone,,ICU nurse cries uncontrollably describing Covid-19 dead in New York https://t.co/inZ2gASDXe
laureenfagan,2020-04-10 22:38:54,South Bend Indiana,Twitter Web App,COVID19,"JUST RELEASED: @JHSPH_CHS and @ASTHO have released a new report, “A National Plan to Enable Comprehensive #COVID19 Case Finding and Contact Tracing in the U.S.”

The report outlines key next steps in the battle against the novel #coronavirus.

🔗 https://t.co/BGbLfQGgqx https://t.co/SbEhZurMnm"
