screen_name,created_at,location,source,hashtags,text
Urbandave65,2020-04-21 16:29:36,"Maple Valley, WA",Twitter for iPhone,,"@Restlessmom1 @BillFOXLA @sheriffmcmahon @FOXLA This was implemented by the Judical counsel of CA under the guise of covid-19 ""emergency"". Most counties had already done early kicks of inmates w/60 days or less to serve &amp; were well under in population...there was no need for this $0 bail"
ASteiner,2020-04-21 16:29:36,"New York, USA",Twitter Web App,"development, COVID19, StrongerTogether",Thank you to @OECD &amp; donor countries for your continued support to #development - to help the most vulnerable countries beat back #COVID19. Now is the time for us to step up together to fulfill the promise of a better future for all. https://t.co/v27Mrxvihk #StrongerTogether
potter_reagan,2020-04-21 16:29:35,"Oregon, USA",Twitter for iPhone,,have you seen covid plague plague who showed up screaming? it’s doing much better after a few weeks now &amp; is eating inside my door....sweet lost scared cat cat i love now 🍪 https://t.co/UZYhCncNQC
49erAlumni,2020-04-21 16:29:35,"UNC Charlotte, Charlotte, NC",Twitter Web App,49erAlumni,"We know that you — our #49erAlumni — are confronting the COVID-19 threat right now 💚

We've compiled a list of alumni-specific resources that we hope will benefit, engage and connect you during this difficult time ➡️ https://t.co/mBBUmendAk. https://t.co/zJ0rV2iXPB"
CBSPhilly,2020-04-21 16:29:35,"Philadelphia, PA",TweetDeck,"Coronavirus, Pennsylvania","#Coronavirus #Pennsylvania: Statewide COVID-19 Cases Near 35,000 As Death Toll Rises Above 1,500  https://t.co/IyMmUyg2gs"
downey1950_w,2020-04-21 16:29:35,"New York, USA",Twitter for iPad,,"@TeaPainUSA djt BELIEVED PUTIN
djt BELIEVED UN
djt BELIEVED MANAFORT
djt BELIEVED XI
djt BELIEVED ERDOGAN 
djt BELIEVED MBS

djt REFUSED TO BELIEVE INTEL COM.,INFECTIOUS DISEASE DOCTORS, CDC, WHO, ECONOMISTS 

If COVID 19 is NO BIG DEAL, WHY BAN ALL IMMIGRATION TO US?

djt BELIEVES LIARS"
DrPattiJones,2020-04-21 16:29:35,NC,Tweetbot for iΟS,,App boosts business at Ramble Rill farm in Hillsborough despite COVID-19 pandemic https://t.co/RYF6MCCWkd via @ABC11_WTVD
NancyWelker,2020-04-21 16:29:35,South Florida USA,OS X,thankyoudesantis,"We have!
Gov. DeSantis: Florida 'has flattened the curve' without 'draconian orders' | Fox News
#thankyoudesantis https://t.co/BYSNdXrUaI"
KiyanniK_,2020-04-21 16:29:34,"Georgia, USA",Twitter for Android,,Georgia was one of the last states to shelter in place and is gonna be one of the first states to re-open back up. Covid finna be BOOMIN down there
JIMDesigns,2020-04-21 16:29:34,"California, USA",Twitter for iPhone,,"@mmpadellan I used to think they were all just stupid but after covid-19 showed up, I think they are all just racists."
PsychArmor,2020-04-21 16:29:34,"San Diego, CA",Twitter Web App,,"PsychArmor's CEO, Tina Atherall, will be serving on @BlueStarFamily and @defensecomm's panel on the Psychological Effects of COVID-19 on Military Families.

Tune in on Thursday, April 23 at 12:00pm PST. 

Click here to register: https://t.co/Nc7WUaMhkx https://t.co/Y61tFWQOAn"
Noneya_Mindyers,2020-04-21 16:29:34,"California, USA",Twitter Web App,,"A short story about why I love @waybackmachine.

I'll start with two pictures.  Spot the difference.

The first is the current correction on Richard Epstein's Covid-19 piece.  The second is a Wayback Machine capture of the correction on the piece as of 2.5 weeks ago. https://t.co/YHInWvxffT"
PattyPmb37,2020-04-21 16:29:34,"Texas, USA",Twitter for iPhone,,"Another COVID theory emanating from France - that the virus infects Prevotella gut bacteria - causing a hyper-immune response and pneumonia. This is theorized as to why Azythromycin is effective in treating COVID, as it is an effective antibacterial.  None of this is yet proven."
BlueWave_resist,2020-04-21 16:29:33,"Florida, USA",Twitter for Android,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
terry803,2020-04-21 16:29:33,"South Carolina, USA",Twitter Web App,,"Is the coronavirus lockdown the future environmentalists want?

New hard hitting report from @ClimateDepot exposes how climate alarmists are using the COVID-19 crisis as a dress rehearsal for climate emergency.

Read here: https://t.co/ETyP8H6wW2 https://t.co/zL5HWNCNxl"
datsyuklover,2020-04-21 16:29:33,"Indianapolis, IN",Twitter for Android,,"The Indiana State Department of Health says the state now has more than 12,000 positive cases of COVID-19, resulting in more than 600 deaths. https://t.co/Q6tEKOvRXv"
DallasInnovates,2020-04-21 16:29:33,"Dallas, TX",Twitter Web App,COVID19,.@EmmittSmith22 to Lead Dallas Regional Chamber in Connecting Workers Impacted by #COVID19 to Jobs via @DallasInnovates https://t.co/05Hak3HKgf
marhub_co,2020-04-21 16:29:32,"Berkeley, CA",Twitter Web App,,"~Refugees in the Time of COVID-19~

Check out this powerful piece about the thousands of asylum seekers who fled violence and gangs, yet are now trapped in Mexico awaiting the pandemic.

https://t.co/VyZTeRE8m3"
BulldogTheodore,2020-04-21 16:29:32,"Boston, MA",Twitter Web Client,,When going to war means going to work: Adjusting to life in Philly’s busiest COVID-19 unit https://t.co/85OMfu6QIX
BillieF1234,2020-04-21 16:29:32,"Pittsgrove, NJ",Twitter Web App,,Everyone seeking to understand the extent of Trump’s botched response to COVID-19 must recognize that Trump wasted one of the country’s best weapons to fight a pandemic: The Strategic National Stockpile of protective equipment. https://t.co/5ABsuqCZnr
